cod_distrito	cod_barrio	barrio
1	1	PALACIO
1	2	EMBAJADORES
1	3	CORTES
1	4	JUSTICIA
1	5	UNIVERSIDAD
1	6	SOL
2	1	IMPERIAL
2	2	ACACIAS
2	3	CHOPERA
2	4	LEGAZPI
2	5	DELICIAS
2	6	PALOS DE MOGUER
2	7	ATOCHA
3	1	PACÍFICO
3	2	ADELFAS
3	3	ESTRELLA
3	4	IBIZA
3	5	JERONIMOS
3	6	NIÑO JESÚS
4	1	RECOLETOS
4	2	GOYA
4	3	FUENTE DEL BERRO
4	4	GUINDALERA
4	5	LISTA
4	6	CASTELLANA
5	1	EL VISO
5	2	PROSPERIDAD
5	3	CIUDAD JARDÍN
5	4	HISPANOAMÉRICA
5	5	NUEVA ESPAÑA
5	6	CASTILLA
6	1	BELLAS VISTAS
6	2	CUATRO CAMINOS
6	3	CASTILLEJOS
6	4	ALMENARA
6	5	VALDEACEDERAS
6	6	BERRUGUETE
7	1	GAZTAMBIDE
7	2	ARAPILES
7	3	TRAFALGAR
7	4	ALMAGRO
7	5	RIOS ROSAS
7	6	VALLEHERMOSO
8	4	PILAR
8	5	LA PAZ
9	1	CASA DE CAMPO
9	2	ARGUELLES
9	3	CIUDAD UNIVERSITARIA
9	4	VALDEZARZA
